"Name","Live Bytes","Live Objects"
"javax.management.MBeanInfo$ArrayGettersSafeAction","24 B (0 %)","1 (0 %)"
"java.lang.module.ModuleFinder[]","24 B (0 %)","1 (0 %)"
"sun.nio.cs.Surrogate$Parser","24 B (0 %)","1 (0 %)"
"sun.management.MemoryImpl","24 B (0 %)","1 (0 %)"
"java.util.logging.LogManager$LoggerContext","24 B (0 %)","1 (0 %)"
"java.net.Socket$SocketInputStream","24 B (0 %)","1 (0 %)"
"sun.nio.fs.WindowsFileSystem","24 B (0 %)","1 (0 %)"
"jdk.internal.ref.CleanerImpl","24 B (0 %)","1 (0 %)"
"java.lang.module.ModuleFinder$2","24 B (0 %)","1 (0 %)"
"java.util.logging.LogManager$SystemLoggerContext","24 B (0 %)","1 (0 %)"
"java.net.InetSocketAddress[]","24 B (0 %)","1 (0 %)"
"jdk.internal.module.ModuleHashes","24 B (0 %)","1 (0 %)"
"com.sun.management.internal.OperatingSystemImpl","24 B (0 %)","1 (0 %)"
"java.util.jar.Manifest[]","24 B (0 %)","1 (0 %)"
"java.lang.Double","24 B (0 %)","1 (0 %)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet","24 B (0 %)","1 (0 %)"
"sun.management.CompilationImpl","24 B (0 %)","1 (0 %)"
"jdk.internal.module.SystemModuleFinders$SystemModuleFinder","24 B (0 %)","1 (0 %)"
"java.lang.invoke.VarHandles$1","24 B (0 %)","1 (0 %)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$40.0x80000004e","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.jfc.model.JFCModel$$Lambda$85.0x0000000801018418","16 B (0 %)","1 (0 %)"
"jdk.internal.jimage.ImageReaderFactory$1","16 B (0 %)","1 (0 %)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$39.0x80000004d","16 B (0 %)","1 (0 %)"
"jdk.internal.logger.BootstrapLogger$DetectBackend$1","16 B (0 %)","1 (0 %)"
"java.util.regex.CharPredicates$$Lambda$19.0x800000027","16 B (0 %)","1 (0 %)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$42.0x800000050","16 B (0 %)","1 (0 %)"
"java.nio.Buffer$1","16 B (0 %)","1 (0 %)"
"sun.util.locale.provider.JRELocaleProviderAdapter$$Lambda$28.0x0000000801057b60","16 B (0 %)","1 (0 %)"
"java.lang.reflect.ReflectAccess","16 B (0 %)","1 (0 %)"
"jdk.internal.util.Preconditions$3","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$48.0x0000000801071410","16 B (0 %)","1 (0 %)"
"jdk.internal.util.Preconditions$1","16 B (0 %)","1 (0 %)"
"jdk.internal.util.Preconditions$2","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputFilter$Config$$Lambda$35.0x0000000801061dd8","16 B (0 %)","1 (0 %)"
"java.util.logging.LogManager$1","16 B (0 %)","1 (0 %)"
"sun.nio.ch.FileChannelImpl$2","16 B (0 %)","1 (0 %)"
"sun.nio.ch.FileChannelImpl$3","16 B (0 %)","1 (0 %)"
"java.lang.CharacterDataLatin1","16 B (0 %)","1 (0 %)"
"java.lang.invoke.MethodHandleImpl$1","16 B (0 %)","1 (0 %)"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ResourceContext$1","16 B (0 %)","1 (0 %)"
"java.util.concurrent.atomic.AtomicBoolean","16 B (0 %)","1 (0 %)"
"java.lang.Float","16 B (0 %)","1 (0 %)"
"sun.security.provider.DRBG$$Lambda$99.0x0000000801087948","16 B (0 %)","1 (0 %)"
"java.security.AllPermissionCollection","16 B (0 %)","1 (0 %)"
"jdk.internal.perf.Perf$GetPerfAction","16 B (0 %)","1 (0 %)"
"jdk.internal.misc.Unsafe","16 B (0 %)","1 (0 %)"
"java.time.ZoneOffset$$Lambda$9.0x80000000e","16 B (0 %)","1 (0 %)"
"jdk.internal.jimage.decompressor.Decompressor","16 B (0 %)","1 (0 %)"
"jdk.internal.jimage.NativeImageBuffer$1","16 B (0 %)","1 (0 %)"
"sun.reflect.generics.tree.TypeVariableSignature","16 B (0 %)","1 (0 %)"
"java.lang.invoke.MemberName$Factory","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$1","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$2","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$5","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$6","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$3","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$4","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$9","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$46.0x0000000801070fe0","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$7","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$8","16 B (0 %)","1 (0 %)"
"java.lang.reflect.ProxyGenerator$$Lambda$59.0x000000080102f648","16 B (0 %)","1 (0 %)"
"sun.nio.ch.Net$1","16 B (0 %)","1 (0 %)"
"java.lang.management.ManagementFactory$$Lambda$50.0x000000080107ae00","16 B (0 %)","1 (0 %)"
"sun.security.provider.SunEntries$1","16 B (0 %)","1 (0 %)"
"java.util.regex.Pattern$$Lambda$39.0x0000000801066720","16 B (0 %)","1 (0 %)"
"jdk.internal.logger.LazyLoggers$1","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.SecureClassLoaderRepository","16 B (0 %)","1 (0 %)"
"sun.nio.fs.WindowsChannelFactory$1","16 B (0 %)","1 (0 %)"
"java.util.ImmutableCollections$MapN$1","16 B (0 %)","1 (0 %)"
"java.lang.module.ModuleDescriptor$1","16 B (0 %)","1 (0 %)"
"java.io.FileOutputStream$1","16 B (0 %)","1 (0 %)"
"sun.util.cldr.CLDRLocaleProviderAdapter$$Lambda$60.0x800000066","16 B (0 %)","1 (0 %)"
"sun.security.provider.AbstractDrbg$SeederHolder$$Lambda$101.0x000000080108f390","16 B (0 %)","1 (0 %)"
"java.util.zip.CRC32","16 B (0 %)","1 (0 %)"
"jdk.net.ExtendedSocketOptions$PlatformSocketOptions$1","16 B (0 %)","1 (0 %)"
"java.util.IdentityHashMap$Values","16 B (0 %)","1 (0 %)"
"java.io.RandomAccessFile$2","16 B (0 %)","1 (0 %)"
"sun.management.ClassLoadingImpl","16 B (0 %)","1 (0 %)"
"java.net.URL$DefaultFactory","16 B (0 %)","1 (0 %)"
"java.io.PrintStream$1","16 B (0 %)","1 (0 %)"
"jdk.internal.module.ModuleLoaderMap$Mapper","16 B (0 %)","1 (0 %)"
"java.util.Collections$EmptyList","16 B (0 %)","1 (0 %)"
"java.lang.System$2","16 B (0 %)","1 (0 %)"
"java.net.InetAddress$PlatformResolver","16 B (0 %)","1 (0 %)"
"jdk.internal.reflect.DirectConstructorHandleAccessor$NativeAccessor","16 B (0 %)","1 (0 %)"
"sun.util.cldr.CLDRBaseLocaleDataMetaInfo","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$5$$Lambda$61.0x0000000801032ae8","16 B (0 %)","1 (0 %)"
"java.util.ResourceBundle$Control","16 B (0 %)","1 (0 %)"
"java.security.Security$$Lambda$7.0x80000000b","16 B (0 %)","1 (0 %)"
"java.util.logging.Level$KnownLevel$$Lambda$17.0x800000025","16 B (0 %)","1 (0 %)"
"jdk.internal.jimage.ImageBufferCache$2","16 B (0 %)","1 (0 %)"
"jdk.internal.jimage.ImageBufferCache$1","16 B (0 %)","1 (0 %)"
"jdk.internal.module.SystemModuleFinders$SystemModuleReader$$Lambda$103.0x0000000801092560","16 B (0 %)","1 (0 %)"
"java.time.zone.ZoneOffsetTransitionRule[]","16 B (0 %)","1 (0 %)"
"sun.nio.ch.NioSocketImpl$2","16 B (0 %)","1 (0 %)"
"sun.nio.ch.NioSocketImpl$1","16 B (0 %)","1 (0 %)"
"sun.net.www.protocol.jrt.JavaRuntimeURLConnection$$Lambda$98.0x000000080100f518","16 B (0 %)","1 (0 %)"
"java.net.URL$3","16 B (0 %)","1 (0 %)"
"java.util.stream.ReferencePipeline$$Lambda$21.0x0000000801047690","16 B (0 %)","1 (0 %)"
"sun.management.Util$$Lambda$67.0x0000000801033c38","16 B (0 %)","1 (0 %)"
"java.util.Spliterators$EmptySpliterator$OfLong","16 B (0 %)","1 (0 %)"
"java.util.logging.Handler[]","16 B (0 %)","1 (0 %)"
"sun.util.resources.provider.NonBaseLocaleDataMetaInfo","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputFilter$Config$BuiltinFilterFactory","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$28.0x800000042","16 B (0 %)","1 (0 %)"
"java.util.function.Function$$Lambda$63.0x0000000801032f60","16 B (0 %)","1 (0 %)"
"java.lang.ref.Cleaner$1","16 B (0 %)","1 (0 %)"
"sun.reflect.misc.MethodUtil$1","16 B (0 %)","1 (0 %)"
"sun.util.logging.internal.LoggingProviderImpl","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$47.0x00000008010711f0","16 B (0 %)","1 (0 %)"
"jdk.internal.util.SystemProps$Raw","16 B (0 %)","1 (0 %)"
"java.lang.management.ManagementFactory$$Lambda$51.0x000000080107b030","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$14","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$15","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$12","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$13","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$18","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$16","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$17","16 B (0 %)","1 (0 %)"
"java.util.Collections$EmptyIterator","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$10","16 B (0 %)","1 (0 %)"
"java.lang.reflect.AccessFlag$11","16 B (0 %)","1 (0 %)"
"java.lang.module.ModuleFinder$2$$Lambda$5.0x800000008","16 B (0 %)","1 (0 %)"
"jdk.internal.module.SystemModules$all","16 B (0 %)","1 (0 %)"
"jdk.internal.jimage.ImageStringsReader","16 B (0 %)","1 (0 %)"
"java.util.logging.LogManager$VisitedLoggers","16 B (0 %)","1 (0 %)"
"java.lang.ModuleLayer$Controller","16 B (0 %)","1 (0 %)"
"java.lang.reflect.ProxyGenerator$$Lambda$60.0x000000080102f878","16 B (0 %)","1 (0 %)"
"jdk.management.jfr.SettingDescriptorInfo$1","16 B (0 %)","1 (0 %)"
"java.util.logging.Level$KnownLevel$$Lambda$15.0x800000023","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$30.0x800000044","16 B (0 %)","1 (0 %)"
"java.util.Spliterators$EmptySpliterator$OfDouble","16 B (0 %)","1 (0 %)"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","16 B (0 %)","1 (0 %)"
"sun.util.cldr.CLDRLocaleProviderAdapter$$Lambda$25.0x00000008010568e8","16 B (0 %)","1 (0 %)"
"sun.net.www.protocol.jar.JarFileFactory","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.JmxMBeanServer$3","16 B (0 %)","1 (0 %)"
"jdk.internal.misc.ScopedMemoryAccess","16 B (0 %)","1 (0 %)"
"java.util.regex.Pattern$Node","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.JmxMBeanServer$1","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.JmxMBeanServer$2","16 B (0 %)","1 (0 %)"
"java.text.MessageFormat$Field","16 B (0 %)","1 (0 %)"
"com.sun.management.internal.PlatformMBeanProviderImpl$$Lambda$41.0x0000000801069d50","16 B (0 %)","1 (0 %)"
"sun.net.www.protocol.jrt.Handler","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.dcmd.DCmdStart$$Lambda$81.0x000000080103dc90","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$66.0x00000008010335c8","16 B (0 %)","1 (0 %)"
"java.security.Provider[]","16 B (0 %)","1 (0 %)"
"jdk.internal.math.FloatingDecimal$1","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputFilter$Config$$Lambda$38.0x0000000801062620","16 B (0 %)","1 (0 %)"
"java.net.InetAddress$1","16 B (0 %)","1 (0 %)"
"jdk.internal.module.DefaultRoots$$Lambda$48.0x800000057","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$10","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$11","16 B (0 %)","1 (0 %)"
"java.util.logging.LogManager$LoggingProviderAccess","16 B (0 %)","1 (0 %)"
"sun.management.ManagementFactoryHelper$$Lambda$90.0x000000080101a4c0","16 B (0 %)","1 (0 %)"
"java.util.concurrent.ConcurrentSkipListSet","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$5$$Lambda$62.0x0000000801032d30","16 B (0 %)","1 (0 %)"
"sun.nio.ch.ExtendedSocketOption$1","16 B (0 %)","1 (0 %)"
"java.util.stream.Nodes$EmptyNode$OfInt","16 B (0 %)","1 (0 %)"
"java.util.ImmutableCollections$Access$1","16 B (0 %)","1 (0 %)"
"jdk.internal.module.ModulePatcher","16 B (0 %)","1 (0 %)"
"sun.reflect.generics.tree.VoidDescriptor","16 B (0 %)","1 (0 %)"
"sun.util.locale.provider.JRELocaleProviderAdapter$$Lambda$27.0x0000000801057700","16 B (0 %)","1 (0 %)"
"java.util.stream.Nodes$EmptyNode$OfRef","16 B (0 %)","1 (0 %)"
"jdk.internal.module.DefaultRoots$$Lambda$45.0x800000054","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$25.0x80000003f","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputStream$$Lambda$33.0x000000080105e540","16 B (0 %)","1 (0 %)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$41.0x80000004f","16 B (0 %)","1 (0 %)"
"jdk.internal.ref.CleanerFactory$1","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$64.0x0000000801033190","16 B (0 %)","1 (0 %)"
"java.util.regex.CharPredicates$$Lambda$18.0x800000026","16 B (0 %)","1 (0 %)"
"java.util.stream.Nodes$EmptyNode$OfDouble","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.MBeanAnalyzer$MethodOrder","16 B (0 %)","1 (0 %)"
"java.util.Map$Entry$$Lambda$32.0x000000080105bcb8","16 B (0 %)","1 (0 %)"
"sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar","16 B (0 %)","1 (0 %)"
"java.util.ResourceBundle$ResourceBundleControlProviderHolder$$Lambda$20.0x0000000801046e50","16 B (0 %)","1 (0 %)"
"sun.util.calendar.ZoneInfoFile$Checksum","16 B (0 %)","1 (0 %)"
"java.lang.ref.Cleaner","16 B (0 %)","1 (0 %)"
"com.sun.management.internal.PlatformMBeanProviderImpl","16 B (0 %)","1 (0 %)"
"sun.nio.ch.FileDispatcherImpl","16 B (0 %)","1 (0 %)"
"sun.security.provider.AbstractDrbg$$Lambda$100.0x0000000801088e08","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$1","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$2","16 B (0 %)","1 (0 %)"
"java.lang.Runtime","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$9","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$7","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$8","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$5","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$6","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$3","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$4","16 B (0 %)","1 (0 %)"
"java.nio.file.Files$AcceptAllFilter","16 B (0 %)","1 (0 %)"
"sun.security.jca.ProviderList$2","16 B (0 %)","1 (0 %)"
"java.io.DeleteOnExitHook$1","16 B (0 %)","1 (0 %)"
"java.util.logging.Logging","16 B (0 %)","1 (0 %)"
"java.lang.String$CaseInsensitiveComparator","16 B (0 %)","1 (0 %)"
"com.sun.management.internal.HotSpotDiagnostic","16 B (0 %)","1 (0 %)"
"java.lang.ApplicationShutdownHooks$1","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory","16 B (0 %)","1 (0 %)"
"java.io.FileDescriptor$1","16 B (0 %)","1 (0 %)"
"javax.management.JMX","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.consumer.FileAccess$UnPrivileged","16 B (0 %)","1 (0 %)"
"java.net.spi.InetAddressResolver$LookupPolicy","16 B (0 %)","1 (0 %)"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock","16 B (0 %)","1 (0 %)"
"sun.security.provider.SunEntries","16 B (0 %)","1 (0 %)"
"jdk.internal.module.DefaultRoots$$Lambda$44.0x800000053","16 B (0 %)","1 (0 %)"
"com.sun.management.internal.PlatformMBeanProviderImpl$1","16 B (0 %)","1 (0 %)"
"com.sun.management.internal.PlatformMBeanProviderImpl$4","16 B (0 %)","1 (0 %)"
"com.sun.management.internal.PlatformMBeanProviderImpl$3","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.dcmd.DCmdDump$$Lambda$88.0x0000000801018858","16 B (0 %)","1 (0 %)"
"java.time.chrono.IsoChronology","16 B (0 %)","1 (0 %)"
"jdk.internal.module.ModuleTarget","16 B (0 %)","1 (0 %)"
"java.util.regex.Pattern$LastNode","16 B (0 %)","1 (0 %)"
"jdk.internal.module.DefaultRoots$$Lambda$46.0x800000055","16 B (0 %)","1 (0 %)"
"jdk.net.WindowsSocketOptions","16 B (0 %)","1 (0 %)"
"sun.net.www.protocol.jar.Handler","16 B (0 %)","1 (0 %)"
"java.lang.reflect.Proxy$ProxyBuilder$$Lambda$54.0x000000080102dfb0","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.MBeanInstantiator","16 B (0 %)","1 (0 %)"
"sun.reflect.generics.tree.LongSignature","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputStream$$Lambda$34.0x000000080105e940","16 B (0 %)","1 (0 %)"
"sun.util.locale.provider.TimeZoneNameUtility$TimeZoneNameGetter","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.DescriptorCache","16 B (0 %)","1 (0 %)"
"java.util.EnumMap$1","16 B (0 %)","1 (0 %)"
"java.lang.Throwable[]","16 B (0 %)","1 (0 %)"
"java.nio.Bits$1","16 B (0 %)","1 (0 %)"
"javax.management.StandardMBean$MBeanInfoSafeAction","16 B (0 %)","1 (0 %)"
"java.nio.file.AccessMode[]","16 B (0 %)","1 (0 %)"
"javax.management.MBeanServerBuilder","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$32.0x800000046","16 B (0 %)","1 (0 %)"
"java.security.Security$1","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$29.0x800000043","16 B (0 %)","1 (0 %)"
"java.util.Collections$EmptyEnumeration","16 B (0 %)","1 (0 %)"
"sun.nio.fs.NativeBuffers$1","16 B (0 %)","1 (0 %)"
"java.lang.Terminator$1","16 B (0 %)","1 (0 %)"
"sun.util.calendar.ZoneInfoFile$ZoneOffsetTransitionRule[]","16 B (0 %)","1 (0 %)"
"jdk.proxy1.$Proxy0","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.SecuritySupport$Privileged","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$24.0x80000003a","16 B (0 %)","1 (0 %)"
"java.lang.reflect.Proxy$$Lambda$53.0x000000080102db90","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.SecuritySupport$$Lambda$78.0x000000080103ca08","16 B (0 %)","1 (0 %)"
"sun.security.provider.NativeSeedGenerator","16 B (0 %)","1 (0 %)"
"java.lang.module.ModuleDescriptor$Builder$$Lambda$1.0x800000002","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputStream$ValidationList","16 B (0 %)","1 (0 %)"
"java.net.URI$1","16 B (0 %)","1 (0 %)"
"sun.util.calendar.Gregorian","16 B (0 %)","1 (0 %)"
"java.util.stream.Nodes$EmptyNode$OfLong","16 B (0 %)","1 (0 %)"
"java.lang.Module$$Lambda$56.0x000000080102e8c8","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.jfc.model.JFCModel$$Lambda$84.0x00000008010181f8","16 B (0 %)","1 (0 %)"
"java.util.jar.Attributes","16 B (0 %)","1 (0 %)"
"sun.nio.ch.SocketDispatcher","16 B (0 %)","1 (0 %)"
"java.util.Collections$EmptySet","16 B (0 %)","1 (0 %)"
"java.lang.invoke.ClassSpecializer$1","16 B (0 %)","1 (0 %)"
"jdk.internal.misc.ExtendedMapMode$$Lambda$102.0x0000000801090078","16 B (0 %)","1 (0 %)"
"java.lang.module.ModuleFinder$1","16 B (0 %)","1 (0 %)"
"java.lang.management.DefaultPlatformMBeanProvider$10$$Lambda$91.0x000000080101a960","16 B (0 %)","1 (0 %)"
"java.lang.System$LoggerFinder$$Lambda$72.0x0000000801036c08","16 B (0 %)","1 (0 %)"
"java.lang.ref.Reference$1","16 B (0 %)","1 (0 %)"
"java.lang.reflect.Executable$$Lambda$97.0x000000080101f0a0","16 B (0 %)","1 (0 %)"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock","16 B (0 %)","1 (0 %)"
"java.util.zip.ZipFile$1","16 B (0 %)","1 (0 %)"
"java.util.stream.Collectors$$Lambda$27.0x800000041","16 B (0 %)","1 (0 %)"
"jdk.internal.module.DefaultRoots$$Lambda$47.0x800000056","16 B (0 %)","1 (0 %)"
"java.util.ResourceBundle$ResourceBundleControlProviderHolder$$Lambda$19.0x00000008010467c0","16 B (0 %)","1 (0 %)"
"java.io.FilePermission$1","16 B (0 %)","1 (0 %)"
"java.security.ProtectionDomain$JavaSecurityAccessImpl","16 B (0 %)","1 (0 %)"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","16 B (0 %)","1 (0 %)"
"sun.security.provider.SeedGenerator$1","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.dcmd.DCmdStart$$Lambda$87.0x0000000801018648","16 B (0 %)","1 (0 %)"
"java.util.Spliterators$EmptySpliterator$OfRef","16 B (0 %)","1 (0 %)"
"sun.util.cldr.CLDRLocaleProviderAdapter$$Lambda$59.0x800000064","16 B (0 %)","1 (0 %)"
"java.lang.management.ManagementFactory$PlatformMBeanFinder$1","16 B (0 %)","1 (0 %)"
"com.sun.jmx.mbeanserver.MXBeanIntrospector","16 B (0 %)","1 (0 %)"
"jdk.management.jfr.internal.FlightRecorderMXBeanProvider","16 B (0 %)","1 (0 %)"
"sun.nio.fs.WindowsFileSystemProvider","16 B (0 %)","1 (0 %)"
"java.io.ObjectInputFilter$Config$$Lambda$37.0x0000000801061fe8","16 B (0 %)","1 (0 %)"
"java.util.logging.Level$KnownLevel$$Lambda$16.0x800000024","16 B (0 %)","1 (0 %)"
"jdk.internal.vm.PostVMInitHook$2","16 B (0 %)","1 (0 %)"
"java.util.jar.JavaUtilJarAccessImpl","16 B (0 %)","1 (0 %)"
"sun.util.resources.LocaleData$LocaleDataStrategy","16 B (0 %)","1 (0 %)"
"java.util.Spliterators$EmptySpliterator$OfInt","16 B (0 %)","1 (0 %)"
"jdk.internal.misc.TerminatingThreadLocal$1","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.dcmd.DCmdCheck$$Lambda$89.0x0000000801018a68","16 B (0 %)","1 (0 %)"
"java.security.cert.Certificate[]","16 B (0 %)","1 (0 %)"
"jdk.jfr.internal.dcmd.DCmdStop$$Lambda$76.0x000000080103b080","16 B (0 %)","1 (0 %)"
"java.nio.file.FileSystems$DefaultFileSystemHolder$1","16 B (0 %)","1 (0 %)"
"java.lang.module.ModuleFinder$2$$Lambda$4.0x800000007","16 B (0 %)","1 (0 %)"
"java.lang.management.ManagementFactory$$Lambda$40.0x0000000801068758","16 B (0 %)","1 (0 %)"
"java.lang.management.ManagementFactory$$Lambda$49.0x000000080107abc0","16 B (0 %)","1 (0 %)"
"java.lang.constant.Constable[]","16 B (0 %)","1 (0 %)"
"java.util.logging.Level$$Lambda$14.0x800000013","16 B (0 %)","1 (0 %)"
"jdk.internal.perf.Perf","16 B (0 %)","1 (0 %)"
"jdk.internal.reflect.ReflectionFactory","16 B (0 %)","1 (0 %)"
"javax.management.NotificationBroadcasterSupport$1","16 B (0 %)","1 (0 %)"
"java.lang.Class$$Lambda$92.0x000000080101dca0","16 B (0 %)","1 (0 %)"
"java.util.ResourceBundle$1","16 B (0 %)","1 (0 %)"
"sun.net.www.protocol.file.Handler","16 B (0 %)","1 (0 %)"
"jdk.internal.logger.LazyLoggers$LazyLoggerFactories","16 B (0 %)","1 (0 %)"
"java.time.zone.ZoneRulesProvider$1","16 B (0 %)","1 (0 %)"
"sun.nio.ch.Util$1","16 B (0 %)","1 (0 %)"
"sun.nio.ch.Util$3","16 B (0 %)","1 (0 %)"
"sun.util.calendar.ZoneInfoFile$1","16 B (0 %)","1 (0 %)"
